bridged_trace_steps,component_bridge_limit,component_count,component_support_floor,evidence_json,feature,full_match_steps,gap,gap_steps,geometry,gt_mask1,gt_mask2,image1,image2,index,label_type,line1_component_ranges,line1_intervals_px,line1_mask_dice,line1_mask_iou,line1_mask_precision,line1_mask_recall,line1_matched_fraction,line1_path_end,line1_path_fraction,line1_path_start,line1_path_windows,line1_source_intervals_px,line1_span_windows,line1_windows,line2_component_ranges,line2_intervals_px,line2_mask_dice,line2_mask_iou,line2_mask_precision,line2_mask_recall,line2_matched_fraction,line2_path_end,line2_path_fraction,line2_path_start,line2_path_windows,line2_source_intervals_px,line2_span_windows,line2_windows,local_weight,mask_coordinate_system,matrix_csv_cosine,matrix_csv_match,matrix_mean_cosine,matrix_std_cosine,mean_full_path_cosine,mean_mask_iou,mean_path_cosine,normalized_nw_score,nw_score,output,pair_id,path_cosine_margin,path_cosine_z,path_steps,representation,score_clip,score_mode,side1_preprocess,side1_type,side2_preprocess,side2_type,source_type,split,status,text_score,threshold,traceback_steps,warp_steps
17,2,3,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04230/evidence/nw_match_scores_values_trace.json,contextual,51,-0.3,24,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4230.png,4230,,"[[5,21],[22,49],[53,61]]","[[664.0, 936.0], [216.0, 664.0], [24.0, 168.0]]",0.741442097596504,0.5891203703703703,0.5891203703703703,1.0,0.8571428571428571,61,0.6984126984126984,5,44,"[[664.0, 936.0], [216.0, 664.0], [24.0, 168.0]]",54,63,"[[2,21],[26,47],[50,60]]","[[664.0, 984.0], [248.0, 600.0], [40.0, 216.0]]",0.5569620253164557,0.38596491228070173,0.41509433962264153,0.8461538461538461,0.8412698412698413,60,0.6984126984126984,2,44,"[[664.0, 984.0], [248.0, 600.0], [40.0, 216.0]]",53,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04230/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04230/matrices/nw_match_scores_values_match_score.csv,0.03524854779243469,0.2512110471725464,0.3873836311566479,0.48754264132553604,0.4560778576626696,0.19931049952431332,12.556561470031738,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04230,synthetic_4230,0.4208293098702349,1.6752022437181469,44,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,75,24
12,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01172/evidence/nw_match_scores_values_trace.json,contextual,58,-0.3,10,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1172.png,1172,,"[[0,62]]","[[0.0, 1024.0]]",0.7924528301886793,0.65625,0.65625,1.0,1.0,62,0.8888888888888888,0,56,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.8195965417867436,0.6943359375,0.6943359375,1.0,1.0,62,0.8888888888888888,0,56,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01172/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01172/matrices/nw_match_scores_values_match_score.csv,0.029796332120895386,0.2464115172624588,0.5844639491867917,0.67529296875,0.6064248517754355,0.49045889718191965,30.898910522460938,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01172,synthetic_1172,0.5766285196545401,2.340103766498703,56,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,68,10
22,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02762/evidence/nw_match_scores_values_trace.json,contextual,55,-0.3,16,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2762.png,2762,,"[[0,21],[26,62]]","[[664.0, 1024.0], [0.0, 600.0]]",0.44965934897804694,0.2900390625,0.309375,0.8227146814404432,0.9365079365079365,62,0.6984126984126984,0,44,"[[664.0, 1024.0], [0.0, 600.0]]",59,63,"[[0,19],[21,61]]","[[696.0, 1024.0], [24.0, 680.0]]",0.5170876671619614,0.3486973947895792,0.35365853658536583,0.9613259668508287,0.9682539682539683,61,0.6984126984126984,0,44,"[[696.0, 1024.0], [24.0, 680.0]]",61,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02762/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02762/matrices/nw_match_scores_values_match_score.csv,0.041573088616132736,0.25618603825569153,0.2748400419950485,0.3193682286447896,0.3559357431420887,0.16374921041821677,10.316200256347656,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02762,synthetic_2762,0.31436265452595596,1.22708738019595,44,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,71,16
20,2,3,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00132/evidence/nw_match_scores_values_trace.json,contextual,56,-0.3,14,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_132.png,132,,"[[0,12],[17,28],[30,62]]","[[808.0, 1024.0], [552.0, 744.0], [0.0, 536.0]]",0.4944178628389155,0.3283898305084746,0.3283898305084746,1.0,0.9206349206349206,62,0.6666666666666666,0,42,"[[808.0, 1024.0], [552.0, 744.0], [0.0, 536.0]]",58,63,"[[0,11],[12,22],[26,61]]","[[824.0, 1024.0], [648.0, 824.0], [24.0, 600.0]]",0.3896940418679549,0.242,0.2542016806722689,0.8344827586206897,0.9365079365079365,61,0.6666666666666666,0,42,"[[824.0, 1024.0], [648.0, 824.0], [24.0, 600.0]]",59,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00132/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00132/matrices/nw_match_scores_values_match_score.csv,0.0183828417211771,0.24280093610286713,0.32677386734368546,0.2851949152542373,0.4716995969592106,0.22379891834561788,14.099331855773926,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00132,synthetic_132,0.4533167552380335,1.8670305086714223,42,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,70,14
21,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01817/evidence/nw_match_scores_values_trace.json,contextual,52,-0.3,22,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1817.png,1817,,"[[1,39],[43,62]]","[[376.0, 1000.0], [0.0, 328.0]]",0.5285605483625285,0.35921325051759834,0.3644957983193277,0.961218836565097,0.9365079365079365,62,0.7142857142857143,1,45,"[[376.0, 1000.0], [0.0, 328.0]]",59,63,"[[1,36],[37,58]]","[[424.0, 1000.0], [72.0, 424.0]]",0.5138993238166792,0.34580384226491406,0.36853448275862066,0.8486352357320099,0.9206349206349206,58,0.7142857142857143,1,45,"[[424.0, 1000.0], [72.0, 424.0]]",58,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01817/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01817/matrices/nw_match_scores_values_match_score.csv,0.03833004832267761,0.26202860474586487,0.3848531419554582,0.3525085463912562,0.4586043315629164,0.21289462134951637,13.412361145019531,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_01817,synthetic_1817,0.4202742832402388,1.60392520369237,45,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,74,22
24,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02716/evidence/nw_match_scores_values_trace.json,contextual,58,-0.3,10,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2716.png,2716,,"[[0,23],[28,62]]","[[632.0, 1024.0], [0.0, 568.0]]",0.4713375796178344,0.30833333333333335,0.30833333333333335,1.0,0.9365079365079365,62,0.6349206349206349,0,40,"[[632.0, 1024.0], [0.0, 568.0]]",59,63,"[[0,24],[28,62]]","[[616.0, 1024.0], [0.0, 568.0]]",0.46420141620771044,0.30225409836065575,0.30225409836065575,1.0,0.9523809523809523,62,0.6349206349206349,0,40,"[[616.0, 1024.0], [0.0, 568.0]]",60,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02716/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02716/matrices/nw_match_scores_values_match_score.csv,0.0355694480240345,0.24835549294948578,0.2345147081169075,0.30529371584699455,0.3859562082681805,0.16828334142291357,10.601850509643555,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02716,synthetic_2716,0.350386760244146,1.4108275040867038,40,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,68,10
14,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00712/evidence/nw_match_scores_values_trace.json,contextual,51,-0.3,24,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_712.png,712,,"[[10,58]]","[[72.0, 856.0]]",0.6122098022355976,0.44114002478314746,0.45408163265306123,0.9393139841688655,0.7777777777777778,58,0.6031746031746031,10,38,"[[72.0, 856.0]]",49,63,"[[2,47]]","[[248.0, 984.0]]",0.6406388642413487,0.47127937336814624,0.4904891304347826,0.9232736572890026,0.7301587301587301,47,0.6031746031746031,2,38,"[[248.0, 984.0]]",46,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00712/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00712/matrices/nw_match_scores_values_match_score.csv,0.0475778765976429,0.260501503944397,0.5043981710047114,0.45620969907564685,0.6525737663829013,0.29403680468362475,18.52431869506836,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00712,synthetic_712,0.6049958897852584,2.32242762757482,38,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,75,24
9,2,3,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00617/evidence/nw_match_scores_values_trace.json,contextual,48,-0.3,30,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_617.png,617,,"[[1,11],[12,21],[22,46]]","[[824.0, 1000.0], [664.0, 824.0], [264.0, 664.0]]",0.5918944392082941,0.4203480589022758,0.4266304347826087,0.9661538461538461,0.7301587301587301,46,0.6190476190476191,1,39,"[[824.0, 1000.0], [664.0, 824.0], [264.0, 664.0]]",46,63,"[[6,16],[20,30],[36,61]]","[[744.0, 920.0], [520.0, 696.0], [24.0, 440.0]]",0.5651376146788991,0.3938618925831202,0.4010416666666667,0.9565217391304348,0.7619047619047619,61,0.6190476190476191,6,39,"[[744.0, 920.0], [520.0, 696.0], [24.0, 440.0]]",48,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00617/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00617/matrices/nw_match_scores_values_match_score.csv,0.045918334275484085,0.25862064957618713,0.4711734809097834,0.407104975742698,0.546047220340906,0.21613219427683997,13.616328239440918,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_00617,synthetic_617,0.5001288860654219,1.9338319924762575,39,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,78,30
13,2,3,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02415/evidence/nw_match_scores_values_trace.json,contextual,53,-0.3,20,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2415.png,2415,,"[[2,9],[10,32],[36,59]]","[[856.0, 984.0], [488.0, 856.0], [56.0, 440.0]]",0.7786998616874136,0.637599093997735,0.6397727272727273,0.9946996466431095,0.873015873015873,59,0.7619047619047619,2,48,"[[856.0, 984.0], [488.0, 856.0], [56.0, 440.0]]",55,63,"[[0,5],[9,35],[36,58]]","[[920.0, 1024.0], [440.0, 872.0], [72.0, 440.0]]",0.8282566429034348,0.706858407079646,0.706858407079646,1.0,0.8888888888888888,58,0.7619047619047619,0,48,"[[920.0, 1024.0], [440.0, 872.0], [72.0, 440.0]]",56,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02415/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02415/matrices/nw_match_scores_values_match_score.csv,0.03613687679171562,0.25170111656188965,0.5296620260572659,0.6722287505386905,0.5861332260537893,0.3503506070091611,22.07208824157715,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_02415,synthetic_2415,0.5499963492620736,2.1851168432414863,48,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,73,20
12,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04254/evidence/nw_match_scores_values_trace.json,contextual,50,-0.3,26,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4254.png,4254,,"[[0,30],[40,57]]","[[520.0, 1024.0], [88.0, 376.0]]",0.5251396648044693,0.3560606060606061,0.3560606060606061,1.0,0.7777777777777778,57,0.6190476190476191,0,39,"[[520.0, 1024.0], [88.0, 376.0]]",49,63,"[[11,40],[43,57]]","[[360.0, 840.0], [88.0, 328.0]]",0.5728444003964321,0.4013888888888889,0.4013888888888889,1.0,0.7142857142857143,57,0.6190476190476191,11,39,"[[360.0, 840.0], [88.0, 328.0]]",45,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04254/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04254/matrices/nw_match_scores_values_match_score.csv,0.03073597513139248,0.2503966689109802,0.4015473699197173,0.3787247474747475,0.5276013555912635,0.19487883552672372,12.277366638183594,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/fused/pair_04254,synthetic_4254,0.49686538045987105,1.9843130606362585,39,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,76,26
