index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error,real_box_evaluated,real_box_status,real_box_match_rule,real_box_min_coverage,real_box_coordinate_space,shared_subword_matches,pair_box_tp,pair_box_fp,pair_box_fn,pair_box_tn,pair_box_precision,pair_box_recall,pair_box_f1,pair_box_specificity,pair_box_accuracy,mean_box_interval_iou,mean_box_pixel_iou,line1_box_annotation_path,line1_box_annotation_sheet,line1_box_annotation_status,line1_box_annotation_error,line1_box_count,line1_shared_gt_boxes,line1_predicted_mask_boxes,line1_box_tp,line1_box_fp,line1_box_fn,line1_box_tn,line1_box_precision,line1_box_recall,line1_box_f1,line1_box_specificity,line1_box_accuracy,line1_mean_box_mask_coverage,line1_shared_box_mask_coverage,line1_box_interval_iou,line1_box_pixel_precision,line1_box_pixel_recall,line1_box_pixel_f1,line1_box_pixel_iou,line2_box_annotation_path,line2_box_annotation_sheet,line2_box_annotation_status,line2_box_annotation_error,line2_box_count,line2_shared_gt_boxes,line2_predicted_mask_boxes,line2_box_tp,line2_box_fp,line2_box_fn,line2_box_tn,line2_box_precision,line2_box_recall,line2_box_f1,line2_box_specificity,line2_box_accuracy,line2_mean_box_mask_coverage,line2_shared_box_mask_coverage,line2_box_interval_iou,line2_box_pixel_precision,line2_box_pixel_recall,line2_box_pixel_f1,line2_box_pixel_iou
1,71,pair_000058,medium_match,0.3333333333333333,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/A/linesImages/line_15.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/B/linesImages/line_08.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_1.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_15.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/A/debug/bboxes.json: list len=246 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_08.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/B/debug/bboxes.json: list len=253 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
2,597,pair_000034,medium_match,0.2,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/A/linesImages/line_15.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_2.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_15.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/A/debug/bboxes.json: list len=206 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_04.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/B/debug/bboxes.json: list len=270 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
3,12,pair_000040,medium_match,0.25,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000040/A/linesImages/line_09.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000040/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_3.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000040/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_09.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000040/A/debug/bboxes.json: list len=221 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000040/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_07.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000040/B/debug/bboxes.json: list len=265 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
16,177,pair_000015,medium_match,0.2857142857142857,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/B/linesImages/line_11.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_16.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_02.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/A/debug/bboxes.json: list len=259 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_11.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/B/debug/bboxes.json: list len=286 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
28,15,pair_000023,medium_match,0.18181818181818182,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_28.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_07.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/A/debug/bboxes.json: list len=183 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_03.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/B/debug/bboxes.json: list len=292 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
39,117,pair_000033,medium_match,0.18181818181818182,test,ok,0.007002651691436768,1,1,0,61,3,False,0.9571949243545532,1,1,1,1,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,63,63,60,60,2,2,32.507936507936506,48.76190476190476,,,,,,975.2380952380952,991.4920634920635,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000033/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000033/B/linesImages/line_01.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_39.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000033/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_02.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000033/A/debug/bboxes.json: list len=231 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000033/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_01.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000033/B/debug/bboxes.json: list len=274 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
49,2,pair_000026,medium_match,0.2857142857142857,test,ok,0.7846789360046387,2,2,0,34,2,False,0.9579888880252838,2,2,2,2,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,63,63,32,33,0,1,471.36507936507934,503.87301587301585,,,,,,991.4920634920635,1024.0,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_10.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/linesImages/line_02.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_49.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_10.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/debug/bboxes.json: list len=220 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_02.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/debug/bboxes.json: list len=274 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
59,104,pair_000024,medium_match,0.16666666666666666,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_59.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_08.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/debug/bboxes.json: list len=254 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_12.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/debug/bboxes.json: list len=279 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
68,7,pair_000012,medium_match,0.3,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000012/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000012/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_68.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000012/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_13.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000012/A/debug/bboxes.json: list len=262 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000012/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_04.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000012/B/debug/bboxes.json: list len=265 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
77,294,pair_000004,medium_match,0.5,test,ok,0.0,0,0,0,0,0,False,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/A/linesImages/line_04.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/vit/Real/ArabicDataset_otsu/medium_match/pair_77.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/A/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_04.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/A/debug/bboxes.json: list len=255 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/B/debug/bboxes.json,json,no_boxes,"Found 1 relevant bbox JSON file(s), but none contained boxes for line_09.png. Schema: /home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/B/debug/bboxes.json: list len=271 first_type=dict",0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,,,,,,,
