index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,-26.287702560424805,-0.21030162048339843,0.0,160,90,35,35,0,0,0,0,0,False,0.7362532983223598,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_1.png,
21,21,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,-17.82187271118164,-0.14257498168945312,0.0,151,99,26,26,0,0,0,0,0,False,0.6636213984603834,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_21.png,
35,35,pair_000024,high_match,0.8,all,ok,needleman_wunsch,-18.44218635559082,-0.14753749084472656,0.0,144,106,19,19,0,0,0,0,0,False,0.6945529120780949,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_35.png,
53,53,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,-16.57863426208496,-0.13262907409667968,0.0,146,104,21,21,0,0,0,0,0,False,0.7853602041991857,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_53.png,
71,71,pair_000020,medium_match,0.25,all,ok,needleman_wunsch,-17.821847915649414,-0.14257478332519533,0.0,138,112,13,13,0,0,0,0,0,False,0.6549156718288681,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_71.png,
74,74,pair_000017,medium_match,0.2,all,ok,needleman_wunsch,-24.24440574645996,-0.19395524597167968,0.0,144,106,19,19,0,0,0,0,0,False,0.7297749840566572,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_74.png,
79,79,pair_000064,medium_match,0.16666666666666666,all,ok,needleman_wunsch,-21.701690673828125,-0.173613525390625,0.0,147,103,22,22,0,0,0,0,0,False,0.6484126702529712,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_79.png,
86,86,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,-19.718799591064453,-0.15775039672851562,0.0,146,104,21,21,0,0,0,0,0,False,0.6716237717236464,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_86.png,
96,96,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,-13.60482406616211,-0.10883859252929687,0.0,144,106,19,19,0,0,0,0,0,False,0.6264922472665895,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_96.png,
105,105,pair_000030,high_match,0.7,all,ok,needleman_wunsch,-18.332122802734375,-0.146656982421875,0.0,144,106,19,19,0,0,0,0,0,False,0.735368695883256,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3/pair_105.png,
